Pathway	pVal	zScore	Genes	type
PKA Signaling	2.92445303860747	1.576	ARC,BAX,CDKN1A,EGR1,FOS,IRF1,JUN,JUNB,KLF6,MBP,PDE4B,SLC1A2,SLC1A3,SOX9	Upstream
Proliferation of cancer cells	6.31515463835559	1.572	FGFR1,CHD1,PKM,FOS,NFIC,STAT3,COX17,SMAD3,CDKN1C,RND3,RASSF2,PEG10,TXNIP,PDGFRA,GFRA1,CD70,PRRX1,CCND1,RHOB,CSPG4,ERBB3,HES1,EIF3F,SOX4,KDM5B,JUN,NDRG2,CCN1,LGALS1,FHL1,PEA15,PTN,BEX2,RBM5,BCAN,MIF,BMP7,BAMBI,JAG1,PLAT,EGR1,B2M,AFAP1L2,IGF2,STMN1,CSDE1,SOX11,MCAM,RPS4X	Functional
ouabain Signaling	2.18508681872493	1.561	ANXA5,CDKN1A,FOS,HSPA5,HSPA9,YWHAQ	Upstream
Sensation	5.74957999769111	1.561	MYO3A,FGFR1,NTSR1,TJP1,LGALS1,CD320,SPRY2,PKM,FOS,PTN,KCNQ2,RPL38,ASCL1,KCND2,PCDH15,PSAP,WDR1,SLC1A3,SLC6A1,GRIA4,MIF,SOX2,TMEM100,KCNMA1,BAMBI,MBP,GPM6B,NAV2,FAM107B,SERPINB6,COL9A1,P2RX7,CCDC50,RAB3A,SCN1A,COL11A1,BAX,ABHD12,KCNJ10,MGLL	Functional
Differentiation of neuroglia	17.9706162223148	1.559	SOX8,METRN,SMARCA4,DNER,CNP,STAT3,TUBA1A,ASCL1,WDR1,SOX2,NKX2-2,PTPRZ1,OLIG2,PDGFRA,SOX5,TNFRSF21,NFIA,KHDRBS1,SOX10,NR3C1,CCND1,VCAN,SOX9,BAX,ERBB3,HES1,LINGO1,AFDN,SERPINE2,CD82,DLX2,PTN,ID4,NTRK3,NLGN3,NTRK2,UGT8,DLX1,GPR17,BMP7,SOX6,HDAC2,SIRT2,GPR37L1,IL6ST,CNTN1,PLP1,EGR2,TIMP1,OLIG1	Functional
IL4 Signaling	3.31336373073771	1.555	ANXA6,APP,ARC,BAX,BCL11A,CCND1,CDK6,CDKN1A,CELF2,CKB,CLCN3,CNRIP1,COX4I1,CRABP1,CTSC,CXCL16,DDAH1,EEA1,EGR2,ELAVL4,FOS,FOSB,FSCN1,GADD45G,GATM,GPM6B,H2AX,IER2,IFNAR1,IL6ST,INPP1,IRF1,ITGAV,JAG1,JUN,JUNB,JUND,KDM6B,KLF3,KLF6,KRT10,LGALS1,LRP1,MCL1,MTDH,NAP1L1,NR3C1,PDE4B,PGM1,PHGDH,PIK3R1,PKM,PLOD2,PRNP,PSAT1,RAB5A,RPS19,RPS6,SAMD4A,SDF4,SERPINB6,SON,SOX2,ST6GAL1,SYMPK,SYT11,THY1,TIMP1,TIMP2,TIMP3,TM7SF2,TP53I11,XRCC5	Upstream
cobalt chloride Signaling	2.85387196432176	1.555	BAX,BTG1,CDKN1A,CLU,HES1,JUN,MAP3K1,MCL1,MIAT,PKM,SLC1A3,STC1,TEK,TJP1,WSB1	Upstream
CX3CR1 Signaling	1.39469495385889	1.554	ABHD14A,AHI1,ANXA5,APP,EGR1,FOS,H3-3A/H3-3B,KCNMA1,MAP1B,PDE6D,SFPQ,TUBB2A	Upstream
DGCR8 Signaling	10.097453220686	1.553	CCND1,CNP,CRABP1,EGR1,EGR2,ERBB3,FOS,HES1,ID4,JAG1,MBP,NRCAM,OLIG1,PLP1,SOX10,SOX2	Upstream
CDH1 Signaling	2.72353819582676	1.55	BMP7,CCND1,CDK6,ERBB3,ERBB4,JUN,MCAM,PIK3R1,SOX9,TJP1	Upstream
NEUROD1 Signaling	4.1266793981846	1.542	ACTN4,ATP2A2,CDKN1A,DCX,INSM1,JUND,NKX2-2,NTRK2,NTRK3,PKM	Upstream
NRAS Signaling	4.94309514866353	1.54	B2M,BAX,CALCRL,CCND1,CCNG1,CDKN1A,DLX5,DUSP6,EGR1,ETV1,ETV5,FHL1,HTRA1,LGALS1,MCL1,NFE2L2,NSG1,RHOB,SERPINE2,SPRY2,SPRY4,STAT3,TUBB2A	Upstream
Activin (family) Signaling	2.64781748188864	1.536	ARC,ARX,ASCL1,BAX,CALCRL,CCN1,CDKN1A,DDAH1,DLX2,FOS,KAT2B,NT5E,RHOB,SKIL,SMAD3,SOX2,SPARC,SSPN,TMEM100	Upstream
BCL2 Signaling	4.04383156952464	1.535	ATP2A2,BAX,CCND1,CCNG1,CDKN1A,CLCN3,FOS,MCAM,MCL1,NNAT,SCG3,SOX9,TIMP1,TIMP2	Upstream
MMP14 Signaling	1.69464863055338	1.534	CDKN1A,CSPG4,JAG1,LRP1,NR3C1,RPS11,RPS6,TUBB2B	Upstream
PPARG Signaling	2.46344155742847	1.532	AASS,ACAA1,AKT3,APP,ARL4D,ASAP1,ATP2A2,BAX,CCND1,CDK6,CDKN1A,CDKN2C,HADHB,HES1,IRS2,JUN,KLF6,LAPTM4A,MAP2,MGLL,NFE2L2,PEA15,PID1,RARRES2,RHOB,SAT1,SLC44A1,SNX1,TIMP4,TJP1,TUBB,TUBB3,XYLT1	Upstream
KDM5B Signaling	2.75696195131371	1.528	BRD3,CCND1,EGR1,ERBB3,FHL1,IGFBP2,MCAM,MPC1,PLS3,PSD3,SAT1,SOX4,SOX9,TUBB2A	Upstream
Neurogenic lesion	12.4078232426041	1.527	SCN3A,NTSR1,ERBB4,RPS24,SAR1B,SMARCA4,RPS5,ENC1,PAK3,ARGLU1,DDX39A,LUZP2,ST8SIA2,DIO3,EPC1,PABPC1,CD70,CALR,FOXG1,DPP7,SLF2,MAP3K1,OPCML,BAX,ERBB3,C3orf70,TAF1D,ARFGAP2,DNAJC1,COL9A3,GPSM2,SLC18B1,ARMCX3,PHPT1,SPECC1,CELF4,PCDH17,RNF157,C7orf50,OLFM1,CDH13,PLAT,EGR1,CACNA1A,NRXN1,RAB3A,HSPA9,CHDH,CELF2,PTPRE,TMEM59,SAMD4A,RPL23,REEP3,SLC35F1,SPRED1,STAT3,CPM,NSG1,EEA1,SYT11,SPATA6,DOCK9,ASTN1,SEMA5A,RPS7,PPP1R9A,DGCR2,EIF4G2,KIF13A,DNAJC3,COL11A1,CCND1,RPL36,TMEM59L,SP9,NAV1,SPCS3,MT2A,RARRES2,CSMD3,NREP,GRIA3,COL20A1,RPL37,USP24,EHD4,TANC1,SDC3,FAM3C,DDX17,FCHSD2,SOX6,SRSF7,RBM3,PPIB,OPHN1,PTCHD4,ADGRL3,ARC,SOX11,NAMPT,NARF,DCLK1,ETV1,PKM,NCAM2,PODXL2,PID1,RPL29,ACAP3,NAP1L1,SGCB,PEG10,CPXM1,ADGRB3,OLIG2,SOX5,NAV2,TIMP2,VWA1,KANK1,BRD7,CHL1,ETV5,ARPP21,VCAN,TNK2,COL9A2,NDRG2,PLS3,RBMX,CD82,LDLRAD4,INA,TEAD2,SDF4,CDH10,MEX3A,BMP7,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,RAB5A,IGFBP2,BCHE,PDZD2,LTBP3,KDM1A,TSC22D1,MDGA2,SH3GLB1,PPM1K,CCDC47,LAPTM4A,NACA,RPL13A,CASK,ITGAV,AASS,GNG7,CLSTN1,CHADL,PCDH9,STC1,TEK,XKR4,ANP32B,ZFP36L1,CDKN1C,RGCC,KCNIP1,AGAP1,RND3,SRSF6,CALB2,GFRA1,ZEB1,APP,FAM107B,TUBB4B,MAFF,STMN2,MAGI1,EIF3F,ABHD2,MMP16,MYO3A,AFDN,FHL1,SCRG1,PIK3R1,C1orf21,XYLT1,SCD5,NLGN3,PGM3,TRAF4,JMJD1C,JAG1,RRBP1,ACAA1,AKT2,SON,SHC3,CCNH,NPAS3,PLP1,MCAM,VAPA,TSPYL1,TIMP1,KCNJ10,LRRN1,IRF1,DLX5,SOX8,MAP4K5,ADGRA1,SCGN,FOS,TUBA1A,LUC7L3,LRP1,PCSK7,WDR1,HNRNPDL,FERMT2,CLCN3,MYO10,PCDH7,CDKN2C,HSP90B1,TNFRSF21,ITGB8,KLHDC8A,TAOK3,CSPG5,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,SSPN,BCL11A,EPN2,TMEM106B,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,POLR1D,BCAS1,KHDRBS3,CXXC4,LRATD1,DLX2,RBM25,RPL5,ARHGDIA,NTRK3,CDK6,SLC6A1,GRM5,TOX3,ZNF649,SRSF1,PLOD2,MFF,BCL11B,FBXO7,PPP2R2A,FARP2,IGF2,PHLDA1,RCOR2,OS9,PRPF4B,DNM3,ITM2B,PLPP3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,TUBB3,ZNF397,CD320,LRP1B,CRISPLD1,GPC6,DTNA,SBK1,CXCL16,ACTN4,CNN3,CTSD,APMAP,SOX2,MTDH,B3GAT2,RASSF2,CCNI,TET1,PDGFRA,H4C3,PCDH19,MLLT11,COL9A1,BLM,RBM39,PRNP,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,VCP,TCEAL2,DPP10,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,TMEM87A,SF1,ZC3H6,CLPTM1,ZFP36L2,RPL12,KCNQ2,BEX2,SNX1,KRT10,ARF5,RTRAF,GOLM1,RPL31,OLFM2,DLX1,DENND5A,RPL18A,PON2,RIN2,PRTFDC1,DYNC1I2,IRS2,TUBB,SERTAD1,ANXA5,SSBP3,RAMP2,GPR37L1,DDAH1,SHISA4,CPE,SYMPK,ANKS1B,DSEL,LINC00632,PDIA6,MRPL42,KIF21A,PNN,CNP,NFIC,ARL4D,RBIS,NUCB1,KLC1,KIFC3,RPS11,VMP1,GRIA4,WSCD1,RPL19,NTM,LRRC4C,MYT1,PDLIM5,AHI1,H3-3A/H3-3B,NFIA,CLDND1,GAL3ST1,GRID2,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,ST3GAL6,ABHD14A,MCL1,CRMP1,NTNG1,CKB,TUBB2A,PCDH10,DSCAM,PDLIM2,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,ELMO1,MLF2,LAMA4,NT5E,COBL,MAP4K4,KLF6,ROBO1,CHRM3,KAZN,RALYL,CREBRF,HADHB,P2RX7,CHID1,CNTN1,ADGRB1,PLPPR3,SLITRK2,PDZRN3,FAIM2,RPL34,TIAL1,FNIP1,HNRNPA2B1,OLIG1,FIP1L1,KAT2B,NME3,DCXR,PLD3,CHD1,HTRA1,DNER,IGSF21,MAP2,TNR,GLUD1,MTSS1,MAP1B,GDAP1L1,PCDH15,TRIM9,ASXL1,CCNL1,FIBIN,PTPRZ1,DNAJB1,CDC42SE1,LHFPL3,RAP1GAP,ASB3/GPR75-ASB3,ATP2A2,CTTNBP2,ANK3,GPAA1,SOX10,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,ABHD12,STK32B,LRRK2,SOX4,KDM5B,SNX3,LINGO1,SLC32A1,AFF4,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,ZFYVE16,SNRNP70,CDK2AP1,HYI,NLGN1,DLGAP4,XRCC5,TRIO,CDKN1A,PSAP,CANX,CC2D1A,GPR17,NONO,GADD45G,SCG3,KPNA2,JPT1,RPL21,HIP1R,ATP2B1,SIRT2,RPS3,CSDE1,CCDC50,DYNLT1,EGR3,COPA,SYNE1,PEX10,SLC2A13,SCN2A,GAD2,SLC22A17,FGF14,DAB2,TRA2B,KDM6B,NFE2L2	Functional
Quantity of leukocytes	6.61798295742513	1.524	IRF1,SATB1,SMARCA4,PKM,IFNAR1,STARD7,FOS,ST6GAL1,TXNIP,CDKN2C,HSP90B1,TNFRSF21,PABPC1,ITGB8,TAOK3,CD70,TIMP2,NEU4,CD47,CLU,VCAN,BCLAF1,BAX,RPL15,BCL11A,IDH2,ST3GAL6,MCL1,MARCHF1,LGALS1,PDE4B,CD82,CALCRL,ARHGDIA,TRIB2,CDK6,ELMO1,NT5E,CDH13,SRSF1,MBP,BCL11B,KLF6,TXN,DBI,PLAT,EGR1,B2M,CACNA1A,KLF3,IGF2,P2RX7,FNIP1,ATP6AP2,FGFR1,ITGAV,HINT1,PLD3,SPRY2,STC1,PRKACB,SPRED1,TEK,STAT3,SMAD3,RGCC,FOSB,CXCL16,ASXL1,CTSD,RASSF2,CD81,TET1,RBP1,ZEB1,APP,BLM,SOX10,PRNP,NR3C1,LNX1,SOX4,NEDD4L,PHGDH,AKT3,SEMA3E,RARRES2,PIK3R1,H2AX,ZFP36L2,PTN,PHF6,XRCC5,CDKN1A,PSAP,MPC1,MIF,NONO,JAG1,TRAPPC1,ATP2B1,SERPINB6,IL6ST,SPPL2A,PBX1,EGR3,PLP1,TIMP3,GAD2,EGR2,TIMP1,NFE2L2	Functional
RASSF1 Signaling	4.95467702121334	1.521	CCND1,CDKN1A,CLU,CPE,DAB2,EGR1,FOS,HES1,MAP1B,PCDH7,SOX9,TUBB,TUBB2A,TUBB2B	Upstream
mir-145 Signaling	1.84466396253494	1.519	CDK6,DDX17,FSCN1,HDAC2,PDGFRA,SOX9	Upstream
KNG1 Signaling	2.18842499412941	1.513	APP,ASIC1,CALR,CCND1,FOS	Upstream
GNAS Signaling	2.05551732784983	1.511	ADD3,ARL4D,CCN1,CHCHD10,FCHSD2,FOS,GADD45G,MAFF,PDE4B,SCG3,SPARC,STAT3,TSC22D1,TUBB2B	Upstream
Genitourinary tumor	32.4089353929735	1.511	SCN3A,NTSR1,ERBB4,RPS24,ANXA6,SMARCA4,HNRNPL,RPS5,ENC1,PAK3,ARGLU1,ADI1,UQCRH,DDX39A,LUZP2,ST8SIA2,TXNIP,DIO3,RSRC2,FNBP1L,EPC1,GPM6B,PABPC1,SLC1A2,NOVA1,CD70,ENAH,SMAP2,CEP170,CALR,FOXG1,DPP7,SLF2,MAP3K1,SFPQ,OPCML,BAX,CD24,ERBB3,C3orf70,UQCRB,TAF1D,CCN1,ARFGAP2,INSM1,SULF2,DNAJC1,TSPAN7,PEA15,COL9A3,GPSM2,RPL22L1,SPECC1,RPS3A,CELF4,PCDH17,RNF157,C7orf50,TMEM100,OLFM1,CDH13,PLEKHB1,RDH11,NASP,TXN,SRSF5,SET,PLAT,EGR1,CACNA1A,NRXN1,KLF3,RAB3A,HSPA9,SAPCD2,SHTN1,CELF2,ACSL3,TUBB2B,PTPRE,TMEM59,C12orf57,SAMD4A,SLC35F1,SPRED1,CERS4,STAT3,CPM,NSG1,EEA1,SYT11,SPATA6,SRSF10,DOCK9,ASTN1,SEMA5A,RPL39,RPS7,SLC44A1,PPP1R9A,EIF4G2,KIF13A,DNAJC3,RPLP0,NKAIN3,ITM2C,COL11A1,CCND1,UBB,NENF,TMEM59L,RPL27,RPS15,NAV1,CSNK1A1,UBA52,MT2A,ARMCX6,RAB14,RARRES2,CSMD3,PLPPR1,PTN,GRIA3,C1QL1,IGFBPL1,COL20A1,RBM5,MAFG,PNPLA8,USP24,TANC1,PLLP,DDX17,HMGA1,AMD1,BAMBI,CBX1,RBM3,OPHN1,PTCHD4,ADGRL3,ARL4C,PTPRD,SOX11,NAMPT,SEZ6L2,TMSB10/TMSB4X,NARF,DCLK1,ETV1,PKM,NCAM2,CRNDE,IFNAR1,STARD7,PCF11,JUND,GLTP,ST6GAL1,PID1,RPL29,LAGE3,ACAP3,SGCB,PEG10,CPXM1,PGM1,RSRP1,ADGRB3,OLIG2,APOD,SOX5,NAV2,CORO1C,GAS5,FABP7,TIMP2,VWA1,KANK1,PRRX1,OAT,BRD7,CHL1,ETV5,ARPP21,VCAN,CTSC,RPS27A,HES1,TNK2,RBX1,NDRG2,PLS3,HNRNPU,FNDC4,RBMX,CD82,LDLRAD4,INA,MYADM,SDF4,SNHG8,CDH10,MEX3A,IL1RAP,MIR124-1HG,BMP7,UGDH,NRXN2,HDAC2,SRRM2,RPN2,UCHL1,BRD3,IGFBP2,BCHE,AFAP1L2,CHST11,CLK1,PDZD2,LTBP3,KDM1A,RPL24,ZCCHC24,HEPACAM,TSC22D1,MDGA2,SH3GLB1,CCDC47,RPS4X,OLA1,LAPTM4A,NACA,PSAT1,SCAF11,ASIC1,CASK,ITGAV,AASS,CLSTN1,CHADL,PCDH9,BASP1,STC1,ELAVL4,DUSP26,TEK,XKR4,ASCL1,SMAD3,ANP32B,ZFP36L1,RGCC,KCNIP1,FOSB,AGAP1,RND3,BRD2,SRSF6,PIK3R3,CALB2,GFRA1,RPL35,RBP1,CPEB4,RPL22,ZEB1,APP,FAM107B,EMC10,TUBB4B,MAGEH1,MAFF,KHDRBS1,STMN2,DCX,MAGI1,LNX1,EIF3F,ARL4A,ABHD2,MMP16,KRTCAP2,MYO3A,IER2,AFDN,HNRNPF,FHL1,SCRG1,AP1S2,PIK3R1,C1orf21,TMEM123,XYLT1,SCD5,KLRC2,BCAN,MPC1,NLGN3,PGM3,TRAF4,JMJD1C,JAG1,ETFB,SRSF2,RRBP1,ACAA1,SERPINB6,AKT2,SON,SPARC,CCNH,NPAS3,PLP1,TIMP3,RPL36A,MCAM,VAPA,TIMP1,KCNJ10,HERPUD1,TSC22D4,LRRN1,IRF1,DLX5,SATB1,MAP4K5,HSPA13,ADGRA1,SP8,SCGN,MAT2A,FOS,HNMT,TUBA1A,LUC7L3,EIF3E,FKBP2,LRP1,PCSK7,WDR1,RPL14,HNRNPDL,FERMT2,CLCN3,KCNMA1,MYO10,ZBED1,RPS18,PCDH7,CDKN2C,HSP90B1,ITGB8,KLHDC8A,DPYSL2,TAOK3,MIAT,CSPG5,SPOCK2,FAM110B,CD47,APPL1,HNRNPA1,COL16A1,CLU,BCLAF1,ZFAS1,SSPN,BCL11A,VSTM2B,SRSF3,EPN2,NLGN4X,LGALS1,EPHA3,ASRGL1,GPR155,RBBP7,RHOC,THY1,CRABP1,POLR1D,BCAS1,CLIC1,CXXC4,LRATD1,CMC2,RBM25,RPL5,ID4,ARHGDIA,NTRK3,CDK6,RAB10,SLC6A1,GRM5,TOX3,ZNF649,RPS25,SRSF1,PLOD2,MFF,BCL11B,FBXO7,PTMS,PPP2R2A,FARP2,IGF2,PHLDA1,TSPAN3,GSE1,RCOR2,OS9,PRPF4B,SEPTIN9,PFN2,DNM3,PSD3,FGFR1,SEL1L3,DMPK,NRCAM,ATF7IP,ING3,BEX4,TUBB3,ZNF397,SPRY2,EEF1A2,RBFOX2,PRKACB,LRP1B,CRISPLD1,DTNA,ASIC4,CLVS2,CXCL16,ACTN4,CTSD,APMAP,SOX2,MTDH,B3GAT2,RASSF2,CCNI,FGF12,TET1,COX4I1,PDGFRA,RPL11,PCDH19,MLLT11,COL9A1,PLPPR5,PRKX,BLM,AKAP7,RBM39,RPL7,PRNP,RHOB,SOX9,PPP1R15A,CSPG4,PDIA3,DUSP6,SREK1,VCP,TCEAL2,DPP10,NEDD4L,MGLL,GRB14,ASAP1,SEMA3E,GPM6A,TMEM87A,SF1,TIMP4,ZC3H6,H2AX,ZFP36L2,KCNQ2,BEX2,SNX1,KRT10,ARF5,RTRAF,GOLM1,RPL31,PAFAH1B3,OLFM2,DLX1,DENND5A,RIN2,ITM2A,DYNC1I2,IRS2,TUBB,NKAIN4,ANXA5,SAT1,RAMP2,DLX6-AS1,SPPL2A,CPE,SYMPK,ANKS1B,DSEL,PDIA6,KIF21A,CCNG1,PNN,CNP,CFAP20,NFIC,RPS19,ARL4D,PSMA7,PRPF38B,RBIS,NUCB1,KCND2,BRINP3,KLC1,RPS11,FERMT1,PHACTR3,VMP1,GRIA4,LRPAP1,OMG,WSCD1,RPL19,SKIL,NTM,SUSD5,LRRC4C,MYT1,TMEM256,PDLIM5,AHI1,H3-3A/H3-3B,NFIA,CLDND1,ADD3,GAL3ST1,GRID2,EIF3H,GALNT10,GPC2,PLEKHH2,EVL,IDH2,AIG1,JUNB,CACNG4,JUN,ST3GAL6,GOLGA8A/GOLGA8B,ABHD14A,RAB33A,CALM1 (includes others),MCL1,STMN4,SERPINE2,CRMP1,GATM,NTNG1,CKB,PDE4B,RPS20,SLC3A2,RPL6,TUBB2A,COX7A2,PCDH10,DSCAM,CNRIP1,CALCRL,LIMA1,BTG3,SLC1A3,FZD3,TRIB2,NTRK2,RPL4,ELMO1,MLF2,LAMA4,NT5E,COBL,MAP4K4,MBP,RACK1,KLF6,ANKRD36C,ROBO1,CHRM3,KAZN,B2M,RALYL,RPS2,CREBRF,TM4SF1,HADHB,P2RX7,WSB1,CHID1,PXDC1,CNTN1,ADGRB1,NNAT,SLITRK2,HES4,NEFM,PDZRN3,FNIP1,LYPD1,RAMP1,HNRNPA2B1,ATP6AP2,TRA2A,KAT2B,PLD3,CHD1,HTRA1,DNER,IGSF21,TAC3,MAP2,TNR,GLUD1,MTSS1,FAU,MAP1B,GDAP1L1,PCDH15,TRIM9,ATP6V0E1,ASXL1,CCNL1,CD81,PTPRZ1,RPS6,GUCY1A2,RAB31,CDC42SE1,DBN1,RAP1GAP,ASB3/GPR75-ASB3,S100B,CTTNBP2,ANK3,GPAA1,APBB2,TTC3,CREB5,SCN1A,ANKRD28,NR3C1,MPZL1,TTC9B,GNG12,STK32B,LRRK2,SOX4,P4HB,KDM5B,LINGO1,SLC32A1,AFF4,PHGDH,YWHAQ,AKT3,TJP1,LRRTM3,SELENOK,TMEM132B,ZFYVE16,SNRNP70,RPL9,NLGN1,DLGAP4,PHF6,GNG3,CARHSP1,COX6B1,XRCC5,GRIA2,TRIO,PDE6D,CDKN1A,ARL6IP1,PSAP,CANX,UGT8,CC2D1A,CCDC112,BSCL2,MIF,PNKD,GPR17,NONO,FSCN1,DEGS1,NPDC1,SCG3,KPNA2,JPT1,RPL21,HIP1R,FDFT1,ATP2B1,SIRT2,EEF1B2,ARX,STMN1,RPS3,FAM89B,CSDE1,CCDC50,CCT8,ATF4,PBX1,EGR3,DLX6,COPA,HSPA5,ATP5MG,SYNE1,DPYSL3,SLC2A13,SCN2A,GAD2,EGR2,DAB2,TRA2B,KDM6B,NFE2L2	Functional
MSP-RON Signaling in Cancer Cells Pathway	1.57	1.50755672288882	AKT2,AKT3,ATF4,CCND1,CREB5,FOS,JUN,PIK3R1,PIK3R3,STAT3,YWHAQ	Canonical
PIP3 activates AKT signaling	1.57	1.50755672288882	AKT2,AKT3,CDKN1A,ERBB3,ERBB4,FGFR1,IL1RAP,IRS2,PDGFRA,PIK3R1,PIK3R3	Canonical
Acute Phase Response Signaling	1.73	1.50755672288882	AKT2,AKT3,CRABP1,FOS,FTL,IL1RAP,IL6ST,JUN,MAP3K1,NR3C1,PIK3R1,PIK3R3,RBP1,STAT3	Canonical
IL-6 Signaling	1.8	1.50755672288882	AKT2,AKT3,FOS,IL1RAP,IL6ST,JUN,MAP4K4,MCL1,PIK3R1,PIK3R3,STAT3	Canonical
Interleukin-4 and Interleukin-13 signaling	2.3	1.50755672288882	CCND1,CDKN1A,FOS,FSCN1,JUNB,MCL1,PIK3R1,SOX2,STAT3,TIMP1,ZEB1	Canonical
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	1.51	1.5	AFDN,AKT2,AKT3,FOS,FOSB,GUCY1A2,IL1RAP,JUN,LAMA4,MAP3K1,PIK3R1,PIK3R3,PPP2R2A,PRKACB,SMAD3,TJP1	Canonical
STMN1 Signaling	2.93554201077308	1.498	CCND1,EGR1,STMN1,STMN2,TUBB3	Upstream
EWSR1 Signaling	2.44249279809434	1.498	CCND1,FOS,MCL1,PCDH17,SOX11,SYNPR	Upstream
apomorphine Signaling	2.07468790850035	1.489	BAX,EGR1,FOS,IL6ST,PTN	Upstream
